Group ID,Group 01,Group 02,Group 03,Group 04,Group 05,Group 06,Group 07,Group 13,Group 16
Series ID,A3349338X,A3349556W,A3349639C,A3349348C,A3349860R,A3349775W,A3349822A,A3349849A,A3349576F
NA,Turnover ;  New South Wales ;  Other specialised food retailing ;,Turnover ;  New South Wales ;  Newspaper and book retailing ;,Turnover ;  Victoria ;  Newspaper and book retailing ;,Turnover ;  Queensland ;  Newspaper and book retailing ;,Turnover ;  Total (State) ;  Newspaper and book retailing ;,"Turnover ;  Australian Capital Territory ;  Pharmaceutical, cosmetic and toiletry goods retailing ;",Turnover ;  Western Australia ;  Newspaper and book retailing ;,"Turnover ;  Australian Capital Territory ;  Cafes, restaurants and catering services ;","Turnover ;  South Australia ;  Cafes, restaurants and catering services ;"
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
2016 Feb,213.9,92.4,43.2,52.2,265,13.7,41.4,43.8,87.1
2016 Mar,219.7,96.5,47.6,53.9,274.3,14.5,42,45.6,99.1
2016 Apr,219.8,83.1,45.9,47.7,240.3,14.5,35.7,41.2,94.6
2016 May,218.9,85,47.1,45.8,245.5,15.7,38.4,40.4,100.8
2016 Jun,207.1,74.4,43.3,49.2,232.3,15.5,38.5,36.9,91.3
2016 Jul,199,84.6,44.9,53.6,256.1,16.3,40.8,41.6,91.9
2016 Aug,204.9,89.5,49.1,56.6,270.9,15,41.7,44.5,99.8
2016 Sep,212.4,83,45.7,52.5,248.4,15,40,43.9,100.5
2016 Oct,233.1,84.5,46.8,53.7,253,15.2,40.8,41.9,96.9
2016 Nov,236.5,94.8,52.1,55.8,275.3,17,44.5,41.6,100.3
2016 Dec,293.6,128.2,81.8,70.7,379.1,19.7,57.5,42.5,103.2
2017 Jan,233.7,88,48.7,60.2,270.4,15.5,45.8,35.1,100.5
2017 Feb,221.2,90.2,50.3,51.4,261.3,16,39.1,39.8,98.2
2017 Mar,236.5,95.2,54.2,56.7,277.6,16.7,40.5,44.6,114.7
2017 Apr,239.4,80.9,46.3,52.1,239.8,17.6,34.3,41,110.8
2017 May,237.8,89.1,45.1,50.8,252,18.8,37.5,41,120.6
2017 Jun,226.5,79.3,42.2,50.2,234.6,18.5,36,39.4,112.6
2017 Jul,226.2,87.8,45,53.2,251.3,19.4,36.1,42.5,108.4
2017 Aug,233.3,92.1,47.3,56,265.4,19.9,41.5,43,113
2017 Sep,229.8,85.3,43.9,53.1,245.1,19.8,36.1,44.3,118.4
2017 Oct,226.6,84,45.9,49.1,243.9,20.1,39.5,41.7,129.4
2017 Nov,239.7,94.7,49.7,50.7,265,21.2,43.3,40.9,126.1
2017 Dec,311,116.3,75.8,65.5,349.8,24.6,54,39.6,133
2018 Jan,245.2,83.4,47.6,51.9,256.6,19.3,45.2,33.8,115.9
2018 Feb,219.3,81.5,42.8,45.2,235.1,18.1,37,37.2,110.3
2018 Mar,254.8,86.6,43.7,44.2,243.8,18.9,39.2,44.3,132.1
2018 Apr,241.8,77.7,40.8,43.9,223.5,18.8,35.7,40.6,130.6
2018 May,252.5,81.4,40.6,45.1,231.3,18.9,38.5,40.9,132.2
2018 Jun,242.2,77.6,39.1,41.3,221.3,19.4,38.3,40.7,125.2
2018 Jul,250,78.5,37.3,46.5,224.3,17.5,35.4,43.8,127.1
2018 Aug,256.7,92.6,39.3,55.8,252.7,16.9,38.3,41.7,134.3
2018 Sep,252,80.7,38.9,49.1,230.6,18.1,37.2,41.4,128.8
2018 Oct,261.9,74.2,39.8,50.2,225.2,19.3,36.6,41.7,132.1
2018 Nov,262,82.5,41.7,56,244.2,20.5,38.6,44,126.5
2018 Dec,337.6,108.9,60.1,68.6,325.8,23.2,53.6,40.9,118.1
2019 Jan,263.6,77.8,43.6,58.9,246.4,17.1,41.3,36.7,118
2019 Feb,245.3,74.1,39,49,218.4,17.3,33.2,40,118.9
2019 Mar,264.3,76.6,42.7,51.6,225,19,30.4,45.5,139.8
2019 Apr,277.3,65.8,37.3,47.7,200,19.2,28.5,44.4,123.3
2019 May,259.5,72.7,37.9,52.3,214.5,20.2,29.7,44.5,127.9
2019 Jun,239.9,70.8,38.4,51.2,209,20.3,28.5,38.8,125.4
2019 Jul,233.3,76,36.9,55.5,224.1,20.4,31.2,41.6,117.5
2019 Aug,239.9,74.2,36.4,55.5,220.4,21.3,31.4,44.2,124
2019 Sep,231.4,66.8,37.1,52.3,208.9,20.2,30.3,43.8,128.8
2019 Oct,250.6,59.8,37.3,54.9,204.7,22.4,30.5,45,126.9
2019 Nov,252.7,64.4,39.3,55.5,218.7,23.9,33.8,44.3,129.6
2019 Dec,321.6,87.3,51.8,68.7,287.3,26.7,43.9,41.4,127.5
2020 Jan,243.3,64,37,60.2,215,19,30.3,32.6,120.1
2020 Feb,225.2,61.3,35.4,53.9,199.2,19.2,27.4,37.6,108.4
2020 Mar,280.7,57.3,31.6,54,190.6,24.8,25.6,29.8,86.8
2020 Apr,246,45.2,21.7,47.3,152.5,14.8,20.5,12.6,48.3
2020 May,258.2,56.5,25,55.2,184.4,16.8,25.3,14.9,71.1
2020 Jun,250.3,50.2,27.2,54.7,180.4,17.1,25.6,25.9,86
2020 Jul,266.8,56.8,26,54.7,188.4,19.5,28.1,31.7,101.2
2020 Aug,270.6,52.4,20.7,52.5,176.5,20.2,28.7,32.4,100
2020 Sep,266.9,55.9,24.5,55.8,190.3,19.9,31.2,32,103.8
2020 Oct,273.8,55.4,28.7,53.5,194,21.2,32.7,33.7,109.2
2020 Nov,283.4,58.3,40.5,55.3,213.2,21.9,33.8,36.3,85.7
2020 Dec,347.4,71.8,56,75.2,286.1,27,48.7,37.2,108.6
