Assignment, Due, Moodle, File
IA1, 2024-03-07, ????,"A1.qmd"
IA2, 2024-03-21,2034165,"A2.qmd"
IA3, 2024-04-25,2034169,"A3.qmd"
IA4, 2024-05-16,2034170,"A4.qmd"
GA1, 2024-03-14,2034167,"G1.qmd"
GA2, 2024-03-28,,"G2.qmd"
GA3, 2024-05-02,,"G3.qmd"
GA4, 2024-05-23,,"G4.qmd"
